0.|Did you actually participate in the GGJ 2020?|2.|8.1|8.2|8.3|9.|10.|1.|3.|4.|5.|6.|7.
2/18/2020 1:29:29|Yes|Bloomfield, New Jersey, United States of America|Rarely|Frequently|Never||Other jammers in the same location|Male|21|Some college, no degree|Three years|Four game jams|Yes, as a student
2/18/2020 1:31:11|Yes|Bloomfield, USA|Very Frequently|Frequently|Very Frequently|We would bounce ideas off each other often and did regular check ins to see how everyone was doing over the weekend.|Other jammers in the same location|Non-binary|23|Bachelor’s degree (e.g. BA, BS)|More than five years|Four game jams|Yes, as an indie developer (Independent/Self-employed, small commercial or other small development units)
2/18/2020 1:33:16|Yes|Bloomfield, NJ, USA|Occasionally|Frequently|Occasionally||Online sources (websites, online documentation, etc.)|Male|27|Master’s degree (e.g. MA, MS, MEd)|Two years|Two game jams|Yes, as an indie developer (Independent/Self-employed, small commercial or other small development units)
2/18/2020 1:40:17|Yes|Melbourne, JMC Academy|Very Frequently|Occasionally|Rarely|Our programmer had to duck out on the first day so I went roaming the halls seeking a new one. A nice man in a Pickachu bodysuit was kind enough to code the rest of our game. I also got help from A samurai punk founder who showed me the wonderful world of procedural animation and in engine rigs! Unfortunately most of the help i gave out was relegated to my own team since a few of them were new, so I took on some extra work and slept a little less to get things working.|Other jammers in the same location|Male|25|Bachelor’s degree (e.g. BA, BS)|Three years|Three game jams|Yes,  professionally (employed)
2/18/2020 2:00:00|Yes|Brisbane|Occasionally|Occasionally|Never|I was solo developing, and I helped some others who were also solo developing.|I did not have a team. I interacted with a broad selection of people.|Female|21|Some college, no degree|Two years|Two game jams|Yes, as an indie developer (Independent/Self-employed, small commercial or other small development units)
2/18/2020 2:11:52|Yes|Brisbane, Australia|Occasionally|Occasionally|Frequently|We were lucky within our group that we had the answers to every questions so we didn’t need to venture outside our circle. But we had definitely set ourselves a realistic task that we knew wouldn’t cause too many issues.|Mentors/organizers|Female|23|Bachelor’s degree (e.g. BA, BS)|One year|No, the GGJ 2020 was my first game jam|Yes, as a student
2/18/2020 2:13:16|Yes|Bloomfield, USA|Occasionally|Frequently|Frequently|When we needed aid, we'd ask about the people near us. If they couldn't help, we'd find a tech/mentor to help. Likewise, when groups around us asked for help, we would try our best to fix their problem or give what we could.|Online sources (websites, online documentation, etc.)|Male|20|Some college, no degree|One year|No, the GGJ 2020 was my first game jam|Yes, as a student
2/18/2020 2:19:12|Yes|Burgas, Bulgaria|Occasionally|Occasionally|Never||Online sources (websites, online documentation, etc.)|Male|20|High school degree or equivalent (e.g. GED)|Less than one year|Two game jams|Yes, as a hobbyist
2/18/2020 2:21:12|Yes|Ankara, Turkey|Rarely|Occasionally|Rarely||Online sources (websites, online documentation, etc.)|Female|22|Bachelor’s degree (e.g. BA, BS)|I have never been involved with game development before the GGJ 2020|No, the GGJ 2020 was my first game jam|No, I haven't
2/18/2020 2:27:43|Yes|Burgas,Bulgaria|Occasionally|Never|Occasionally||Mentors/organizers|Male|14|Less than a high school diploma|I have never been involved with game development before the GGJ 2020|No, the GGJ 2020 was my first game jam|No, I haven't
2/18/2020 2:35:37|Yes|Colombo,Sri Lanka|Frequently|Very Frequently|Frequently||Other jammers in the same location|Male|25|Bachelor’s degree (e.g. BA, BS)|Four years|No, the GGJ 2020 was my first game jam|Yes, as a hobbyist
2/18/2020 2:39:56|Yes|Bloomfield NJ, USA|Frequently|Frequently|Very Frequently|Since I was an experianced jammer, I volunteered to help people out as well as to help spread announcements around the jam site. |Other jammers in the same location|Male|31|Some college, no degree|More than five years|More than five game jams|Yes, as a student
2/18/2020 2:40:28|Yes|Australia|Rarely|Rarely|Never||Other jammers in the same location|Prefer not to say|19|Some college, no degree|More than five years|Yes, one game jam|Yes, as a hobbyist
2/18/2020 3:43:48|Yes|Breda University, Netherlands|Rarely|Rarely|Occasionally||Mentors/organizers|Female|20|High school degree or equivalent (e.g. GED)|Two years|No, the GGJ 2020 was my first game jam|Yes, as a student
2/18/2020 3:47:36|Yes|Burgas, Bulgaria|Occasionally|Occasionally|Frequently|We exchanged ideas, methods. The hosts helped us with a few bugs.|Online sources (websites, online documentation, etc.)|Male|15|Less than a high school diploma|Less than one year|Yes, one game jam|No, I haven't
2/18/2020 3:49:17|Yes|Bologna, Italy|Frequently|Frequently|Frequently||Other jammers in the same location|Male|25|Master’s degree (e.g. MA, MS, MEd)|Less than one year|No, the GGJ 2020 was my first game jam|Yes, as a student
2/18/2020 3:49:30|Yes|Ottawa Canada|Rarely|Very Frequently|Never|I went in without a team look to just create something. I normally lead project but I wanted to sit this one back and just enjoy the ride. Once a general always a general I guess. I would have liked to learn something new this time around but someone had making sure everyone was running effectively |Other jammers in the same location|Male|30|Bachelor’s degree (e.g. BA, BS)|More than five years|Three game jams|Yes, as an indie developer (Independent/Self-employed, small commercial or other small development units)
2/18/2020 3:52:07|Yes|RENNES - FRANCE|Frequently|Rarely|Occasionally|I was (maybe) too much focus on what I have to create as a profesionnal game developper. I didn't much seeked help or gave help but next time I will !|Online sources (websites, online documentation, etc.)|Male|29|Master’s degree (e.g. MA, MS, MEd)|Four years|No, the GGJ 2020 was my first game jam|Yes, as an indie developer (Independent/Self-employed, small commercial or other small development units)
2/18/2020 3:58:35|Yes|Bologna Italy|Rarely|Occasionally|Occasionally||Online sources (websites, online documentation, etc.)|Male|34|Bachelor’s degree (e.g. BA, BS)|Four years|No, the GGJ 2020 was my first game jam|Yes, as a hobbyist
2/18/2020 4:03:35|Yes|Brisbane, Australia|Never|Never|Never|There felt like less of a community during this GGJ than GGJ 2019.|Online sources (websites, online documentation, etc.)|Female|23|Bachelor’s degree (e.g. BA, BS)|Four years|Four game jams|Yes, as a hobbyist
2/18/2020 4:06:36|Yes|Adelaide, Australia|Occasionally|Rarely|Never||Other jammers in the same location|Male|19|Some college, no degree|Four years|Two game jams|Yes, as a student
2/18/2020 4:08:16|Yes|Brisbane, Australia|Very Frequently|Very Frequently|Rarely|I'm assuming other jammers includes my team members. I helped and they helped by providing feedback on each other's work.|Other jammers in the same location|Male|22|Bachelor’s degree (e.g. BA, BS)|Four years|No, the GGJ 2020 was my first game jam|Yes, as an indie developer (Independent/Self-employed, small commercial or other small development units)
2/18/2020 4:13:02|Yes|Breda, Netherlands|Never|Never|Never|I only work with my own team|Other jammers in the same location|Male|23|Some college, no degree|Five years|Yes, one game jam|Yes, as a student
2/18/2020 4:21:26|Yes|Burgas, Bulgaria|Occasionally|Rarely|Rarely|They assisted with some technical aspects.|Other jammers in the same location|Male|18|Less than a high school diploma|Two years|Three game jams|Yes, as a hobbyist
2/18/2020 4:31:00|Yes|Burgas, Bulgaria|Never|Occasionally|Never|I did not receive any help from others. However, I gave some advice to another team and helped with the testing of their game.|Other jammers in the same location|Male|16|Less than a high school diploma|One year|No, the GGJ 2020 was my first game jam|Yes, as an indie developer (Independent/Self-employed, small commercial or other small development units)
2/18/2020 4:33:14|Yes|Rennes, France|Occasionally|Occasionally|Rarely|"Organizers are sassy and tend to entertain, even distract, but they answer very well when asked about technical issues.
I was in a group with friends, but as a sound designer, I offered my help to other groups, I also attempted to make a game on my own. I helped other sound designers, providing them advice on which softwares they could use and how to use them. I asked programming questions to my lead developer. I recorded a last minute choir for another group, very fun yet awful. And I asked my lead designer to test the game I was making alone, so he could provide insights on UX."|Online sources (websites, online documentation, etc.)|Male|27|Some college, no degree|Four years|Five game jams|Yes, as a hobbyist
2/18/2020 4:35:47|Yes|Sri lanka|Very Frequently|Very Frequently|Very Frequently|On hardpoints they kindly helped us|Mentors/organizers|Male|20|Some college, no degree|I have never been involved with game development before the GGJ 2020|No, the GGJ 2020 was my first game jam|No, I haven't
2/18/2020 4:53:49|Yes|Brisbane, Australia|Never|Rarely|Never||My team did not get help at any point.|Male|22|Bachelor’s degree (e.g. BA, BS)|More than five years|More than five game jams|Yes, as a hobbyist
2/18/2020 4:55:49|Yes|Ottawa , Canada |Never|Never|Never|I don't know anything about coding or many other aspects of game design. I'm mostly there to brainstorm ideas and make things in Photoshop. |No one |Male|26|Bachelor’s degree (e.g. BA, BS)|Less than one year|Two game jams|The two previous game jams 
2/18/2020 4:58:53|Yes|Adelaide, South Australia|Rarely|Frequently|Rarely||Other jammers in the same location|Male|19|High school degree or equivalent (e.g. GED)|Two years|No, the GGJ 2020 was my first game jam|Yes, as a student
2/18/2020 5:02:47|Yes|Madrid, spain|Very Frequently|Very Frequently|Very Frequently||Mentors/organizers|Male|34|Some college, no degree|I have never been involved with game development before the GGJ 2020|No, the GGJ 2020 was my first game jam|No, I haven't
2/18/2020 5:03:53|Yes|Paris|Very Frequently|Never|Never||Other jammers in the same location|Male|36|High school degree or equivalent (e.g. GED)|I have never been involved with game development before the GGJ 2020|No, the GGJ 2020 was my first game jam|No, I haven't
2/18/2020 5:11:32|Yes|Cebu City, Philippines|Occasionally|Occasionally|Frequently|We had a portion in the event where we presented ideas for each group and the other groups would ask questions and give suggestions about the game idea to help out.|Other jammers in the same location|Female|22|Some college, no degree|Three years|Yes, one game jam|Yes, as a hobbyist
2/18/2020 5:16:12|Yes|Breda, The Netherlands|Rarely|Rarely|Never|I am very much a pupil of other more skilled people I hope to learn a lot from them|Online sources (websites, online documentation, etc.)|Male|23|High school degree or equivalent (e.g. GED)|Three years|Yes, one game jam|Yes, as a hobbyist
2/18/2020 5:16:55|Yes|Murcia, Spain|Rarely|Occasionally|Frequently|It was not exactly help, but we ended up exchanging technical information about what we were passionate about with other teams, like hey there's this addon for substance painter, you should try it, stuff like that|Other jammers in the same location|Male|19|High school degree or equivalent (e.g. GED)|One year|No, the GGJ 2020 was my first game jam|Yes, as a student
2/18/2020 5:18:04|Yes|Pamplona, Spain|Occasionally|Very Frequently|Frequently||Online sources (websites, online documentation, etc.)|Male|23|Some college, no degree|Three years|Yes, one game jam|Yes, as a student
2/18/2020 5:21:02|Yes|Manama,Bahrain.|Frequently|Frequently|Frequently||Online sources (websites, online documentation, etc.)|Female|23|Bachelor’s degree (e.g. BA, BS)|One year|Yes, one game jam|Yes, as a student
2/18/2020 5:31:03|Yes|Florence|Frequently|Very Frequently|Occasionally|It was really fun and useful to collaborate with open-minded people with constructive criticism.|Online sources (websites, online documentation, etc.)|Female|29|Professional degree (e.g. MD, DDS, DVM)|Three years|No, the GGJ 2020 was my first game jam|Yes, as a student
2/18/2020 5:35:32|Yes|Breda|Never|Never|Never|I had no communication outside my team, organizers/mentors did not interact with the jammers|Online sources (websites, online documentation, etc.)|Male|21|High school degree or equivalent (e.g. GED)|Three years|Yes, one game jam|Yes, as a student
2/18/2020 5:49:38|Yes|France, Rennes|Very Frequently|Very Frequently|Occasionally|no|Online sources (websites, online documentation, etc.)|Male|21|Bachelor’s degree (e.g. BA, BS)|Two years|Yes, one game jam|Yes, as a hobbyist
2/18/2020 5:55:13|Yes|Birmingham, UK|Rarely|Rarely|Rarely||Technician to get the wacom tablet working on the pc.|Male|21|High school degree or equivalent (e.g. GED)|I have never been involved with game development before the GGJ 2020|No, the GGJ 2020 was my first game jam|No, I haven't
2/18/2020 5:57:46|Yes|Breda, Netherlands|Occasionally|Frequently|Never|Overall, everyone was very sharing and open, but not much help was really needed. Having said that, I'm sure that if I asked around, multiple people would gladly help us. When I was walking around, I talked to several teams and brainstormed a bit with them and sometimes provided solutions for unreal blueprinting problems.|Online sources (websites, online documentation, etc.)|Male|21|Some college, no degree|Five years|More than five game jams|both as a student and as a hobbyist before that
2/18/2020 5:59:36|Yes|Bangkok, Thailand|Occasionally|Occasionally|Rarely||Online sources (websites, online documentation, etc.)|Prefer not to say|21|Bachelor’s degree (e.g. BA, BS)|Three years|Two game jams|Yes, as a student
2/18/2020 6:12:09|Yes|Madrid, Spain|Rarely|Occasionally|Never|My team and I decided to do everything by our selves and since we had a pretty defined idea of what we wanted we went straight on to doing it. It's not that we weren't offered help, it's just that we didn't want it.|Other jammers in the same location|Male|21|Some college, no degree|Less than one year|No, the GGJ 2020 was my first game jam|Yes, as a hobbyist
2/18/2020 6:32:09|Yes|Lille, France|Occasionally|Rarely|Rarely|We haven't had many problems, so we did'nt sought much help, but we knew that there was nice people willing to help if needed.|Mentors/organizers|Female|27|Some college, no degree|One year|Four game jams|Yes, as a hobbyist
2/18/2020 6:54:57|Yes|Dundee, Scotland|Never|Never|Never||Other jammers in the same location|Male|26|Bachelor’s degree (e.g. BA, BS)|More than five years|More than five game jams|Yes,  professionally (employed)
2/18/2020 6:55:54|Yes|Manama, Bahrain|Never|Never|Rarely|I mostly developed from home as I’m heavily pregnant but the organizers helped in keeping me up to date.|People not participating in the jam|Female|36|Some college, no degree|Five years|Five game jams|Yes, as an indie developer (Independent/Self-employed, small commercial or other small development units)
2/18/2020 7:06:39|Yes|Adelaide, South Australia|Never|Rarely|Never|I provided help to my team by helping with logistics: ensuring we had source control, a communication channel, a plan for the weekend (e.g. artists hand up work at 11am Sunday then work on title page etc), getting them to and from the jam, getting them fed, getting them monitors, getting the game handed up at the end.  I did not provide much help to other teams except general advice about how to register, how to hand up the game and so on.|Other jammers in the same location|Female|60|Master’s degree (e.g. MA, MS, MEd)|More than five years|More than five game jams|Yes, as an indie developer (Independent/Self-employed, small commercial or other small development units)
2/18/2020 7:11:59|Yes|Rennes|Frequently|Rarely|Never||Other jammers in the same location|Female|23|Master’s degree (e.g. MA, MS, MEd)|I have never been involved with game development before the GGJ 2020|No, the GGJ 2020 was my first game jam|Yes, as a hobbyist
2/18/2020 7:28:51|Yes|Seoul SBA SouthKorea|Occasionally|Very Frequently|Rarely|I have 2d & 3d art skill. My skills could help other beginners.|Other jammers in the same location|Male|38|Bachelor’s degree (e.g. BA, BS)|More than five years|More than five game jams|job
2/18/2020 7:43:57|Yes|Bologna|Rarely|Occasionally|Never||barman|Male|34|Bachelor’s degree (e.g. BA, BS)|More than five years|No, the GGJ 2020 was my first game jam|Yes,  professionally (employed)
2/18/2020 7:51:18|Yes|France|Frequently|Never|Occasionally||Online sources (websites, online documentation, etc.)|Male|27|Master’s degree (e.g. MA, MS, MEd)|One year|Yes, one game jam|Yes, as a student
2/18/2020 7:57:37|Yes|Birmingham|Occasionally|Rarely|Frequently|Staff members from our university gave us occasional feedback and good advice. The programmers also communicated a bit with other programmers.|Online sources (websites, online documentation, etc.)|Male|20|High school degree or equivalent (e.g. GED)|More than five years|Yes, one game jam|Yes, as a student
2/18/2020 8:03:42|Yes|México|Frequently|Rarely|Frequently|Assets creations, and mechanics programins|Other jammers in the same location|Male|29|Professional degree (e.g. MD, DDS, DVM)|Two years|Yes, one game jam|Yes, as a hobbyist
2/18/2020 8:08:30|Yes|Adelaide, Australia|Occasionally|Occasionally|Never|Was trying to figure out how to move the camera in unity. I helped others by giving feedback on music.|Other jammers in the same location|Female|19|Some college, no degree|I have never been involved with game development before the GGJ 2020|No, the GGJ 2020 was my first game jam|Yes, as a hobbyist
2/18/2020 8:10:57|Yes|Rennes, France|Occasionally|Frequently|Never||Online sources (websites, online documentation, etc.)|Male|21|Bachelor’s degree (e.g. BA, BS)|Two years|No, the GGJ 2020 was my first game jam|Yes, as a student
2/18/2020 8:22:48|Yes|Murcia, Spain|Never|Rarely|Occasionally|More than technical support, it is encouragement and some GGJ gifts that make your day, as custom mugs, fruit and candies.|Mentors/organizers|Male|38|Master’s degree (e.g. MA, MS, MEd)|More than five years|Three game jams|Yes, as a hobbyist
2/18/2020 8:28:38|Yes|Madrid|Very Frequently|Very Frequently|Very Frequently|no|Mentors/organizers|Male|18|Bachelor’s degree (e.g. BA, BS)|I have never been involved with game development before the GGJ 2020|No, the GGJ 2020 was my first game jam|Yes, as a student
2/18/2020 8:28:42|Yes|Madrid|Very Frequently|Very Frequently|Very Frequently|no|Mentors/organizers|Male|18|Bachelor’s degree (e.g. BA, BS)|I have never been involved with game development before the GGJ 2020|No, the GGJ 2020 was my first game jam|Yes, as a student
2/18/2020 8:29:15|Yes|Madrid, España|Never|Rarely|Never|No|Online sources (websites, online documentation, etc.)|Male|24|High school degree or equivalent (e.g. GED)|I have never been involved with game development before the GGJ 2020|No, the GGJ 2020 was my first game jam|No, I haven't
2/18/2020 8:40:59|Yes|Madrid, spain|Never|Rarely|Never||With my team|Male|21|High school degree or equivalent (e.g. GED)|Less than one year|No, the GGJ 2020 was my first game jam|No, I haven't
2/18/2020 8:47:03|Yes|Thailand|Rarely|Rarely|Occasionally||Other jammers in the same location|Female|21|Some college, no degree|One year|Yes, one game jam|Yes, as a student
2/18/2020 8:50:57|Yes|Dundee, Scotland.|Occasionally|Frequently|Occasionally|It was mainly support from other members of my team but there was one instance where we got help for animation trees in Unity from another team. Again it was mainly helping members of my team, mostly programming but a little bit of art assistance too.|Online sources (websites, online documentation, etc.)|Male|22|Bachelor’s degree (e.g. BA, BS)|Five years|More than five game jams|Yes, as a student
2/18/2020 9:09:06|Yes|Dundee, Scotland|Rarely|Rarely|Never|Talking to those around me |Other jammers in the same location|Male|23|Bachelor’s degree (e.g. BA, BS)|Five years|More than five game jams|Yes,  professionally (employed)
2/18/2020 9:13:45|Yes|Caruaru, Brazil|Frequently|Occasionally|Very Frequently|GGJ is not a competitive event, so it is natural to help and be helped by all participants|Other jammers in the same location|Male|23|Some college, no degree|Two years|Two game jams|Yes, as an indie developer (Independent/Self-employed, small commercial or other small development units)
2/18/2020 9:16:54|Yes|Ottawa, Canada|Occasionally|Occasionally|Never|Another jammer helped me and another programmer solve a software issue with VS code. I helped my friend on another team learn how to built materials in Unity. For the record as well we had no help from the organizers but that's fine, we didn't request any. I'm confident they would have helped had we asked.|Other jammers in the same location|Male|25|Bachelor’s degree (e.g. BA, BS)|More than five years|Four game jams|As an indie dev, modder, hobbyist and student.
2/18/2020 9:38:36|Yes|Thailand|Frequently|Frequently|Occasionally||Mentors/organizers|Female|20|Bachelor’s degree (e.g. BA, BS)|Two years|Yes, one game jam|Yes, as a student
2/18/2020 9:46:13|Yes|Winter Park, USA|Very Frequently|Frequently|Frequently|Local organizers would constantly be walking around and asking us on our progress on the game, but since they were also game developers, they could also help us with problems we were having with our games. But I remember there was a time where one guy from another group asked our group if we could spare someone to help solve their problem, and we did because why wouldn't we help out another game developer. While everyone could be making a different game, we aren't competing with each other. Instead, we're all just people that are passionate about making games.|Online sources (websites, online documentation, etc.)|Male|18|Less than a high school diploma|Less than one year|Two game jams|Yes, as a student
2/18/2020 9:55:43|Yes|Dundee, Scotland|Occasionally|Occasionally|Rarely|Feedback at initial idea stage|Online sources (websites, online documentation, etc.)|Male|25|Bachelor’s degree (e.g. BA, BS)|One year|Yes, one game jam|Yes, as a hobbyist
2/18/2020 10:13:35|Yes|Ottawa, Canada|Rarely|Never|Rarely||Other jammers in the same location|Male|38|Some college, no degree|More than five years|More than five game jams|Yes,  professionally (employed)
2/18/2020 10:27:33|Yes|Marseille, France |Rarely|Very Frequently|Never||Online sources (websites, online documentation, etc.)|Female|19|High school degree or equivalent (e.g. GED)|Less than one year|Yes, one game jam|Yes, as a student
2/18/2020 10:32:17|Yes|Marseille, France|Rarely|Rarely|Never|Some of us worked on the same new engine for us. that way we sometimes told each others little tips.|Online sources (websites, online documentation, etc.)|Male|19|Some college, no degree|I have never been involved with game development before the GGJ 2020|Two game jams|Yes, as a hobbyist
2/18/2020 10:47:21|Yes|Caruaru, Brazil|Occasionally|Frequently|Occasionally||Online sources (websites, online documentation, etc.)|Male|23|Some college, no degree|One year|No, the GGJ 2020 was my first game jam|Yes, as a student
2/18/2020 10:55:20|Yes|Burlington, VT, USA |Occasionally|Frequently|Rarely||Other jammers in the same location|Female|18|Some college, no degree|One year|Yes, one game jam|Yes, as a student
2/18/2020 11:01:10|Yes|São Paulo, Brazil|Frequently|Very Frequently|Frequently|A Jam que fui tinha pessoas tanto iniciantes quanto avançadas, então foi um bom lugar de aprendizado|Other jammers in the same location|Male|22|High school degree or equivalent (e.g. GED)|One year|Yes, one game jam|Yes, as an indie developer (Independent/Self-employed, small commercial or other small development units)
2/18/2020 11:05:02|Yes|Casablanca, Morocco |Never|Very Frequently|Occasionally||Other jammers in the same location|Male|18|High school degree or equivalent (e.g. GED)|I have never been involved with game development before the GGJ 2020|No, the GGJ 2020 was my first game jam|No, I haven't
2/18/2020 11:05:11|Yes|Paris, France|Rarely|Never|Rarely||Online sources (websites, online documentation, etc.)|Male|21|Bachelor’s degree (e.g. BA, BS)|Two years|Four game jams|Yes, as a student
2/18/2020 11:05:41|Yes|São Caetano do Sul, Brazil|Never|Rarely|Rarely||Other jammers in the same location|Male|19|High school degree or equivalent (e.g. GED)|Two years|Yes, one game jam|Yes, as a student
2/18/2020 11:08:20|Yes|Big Rapids, USA|Rarely|Frequently|Never||Online sources (websites, online documentation, etc.)|Male|24|Bachelor’s degree (e.g. BA, BS)|More than five years|More than five game jams|Yes,  professionally (employed)
2/18/2020 11:09:47|Yes|São Carlos, Brazil|Never|Never|Occasionally|Help on the functionalities of the software I just started to use.|Mentors/organizers|Female|19|Some college, no degree|Four years|No, the GGJ 2020 was my first game jam|Yes, as an indie developer (Independent/Self-employed, small commercial or other small development units)
2/18/2020 11:10:00|Yes|Brazil|Rarely|Frequently|Occasionally|The mentors passed by my group and gave us some guidelines and feedbacks of scope, composition and project management|Other jammers in the same location|Prefer not to say|24|Bachelor’s degree (e.g. BA, BS)|More than five years|More than five game jams|Yes,  professionally (employed)
2/18/2020 11:10:24|Yes|São Caetano do Sul, Brazil|Rarely|Occasionally|Frequently|the mentors roamed around the building, to help and evaluate each team's progress.|Mentors/organizers|Male|18|High school degree or equivalent (e.g. GED)|Three years|Yes, one game jam|Yes, as a student
2/18/2020 11:15:33|Yes|São Caetano do Sul, São Paulo|Occasionally|Frequently|Occasionally||Other jammers in the same location|Male|31|Bachelor’s degree (e.g. BA, BS)|More than five years|More than five game jams|Yes, as a hobbyist
2/18/2020 11:16:11|Yes|Feu Institute of technology |Very Frequently|Very Frequently|Very Frequently|We collab our ideas into one |Other jammers in the same location|Female|22|Some college, no degree|Four years|No, the GGJ 2020 was my first game jam|Yes, as a student
2/18/2020 11:17:00|Yes|Adelaide, Australia|Rarely|Occasionally|Never|I helped with general knowledge in regards to Unreal Engine to other jammers, I also assisted or received assistance from other team mates particularly in the manner of artistic advice and conference.|Other jammers in the same location|Male|37|Some college, no degree|Two years|Yes, one game jam|Yes, as a student
